ChildMortalityID,CountryKey,DateID,genderID,HealthCoverageDataID,HungerKey,PovertyDataID,SuicideKey,PopulationID,HungerKey,PovertyDataID,ChildMortality,MortalityRate
278,29,39,1,322,55,61,341,28,55,61,5223.0,0.0567704482198078
279,29,39,1,322,55,61,342,28,55,61,5223.0,0.0567704482198078
280,29,39,1,322,55,62,340,28,55,62,5223.0,0.0567704482198078
281,29,39,1,322,55,62,341,28,55,62,5223.0,0.0567704482198078
282,29,39,1,322,55,62,342,28,55,62,5223.0,0.0567704482198078
283,29,39,1,322,55,63,340,28,55,63,5223.0,0.0567704482198078
284,29,39,1,322,55,63,341,28,55,63,5223.0,0.0567704482198078
285,29,39,1,322,55,63,342,28,55,63,5223.0,0.0567704482198078
286,29,39,1,322,56,59,340,28,56,59,5223.0,0.0567704482198078
287,29,39,1,322,56,59,341,28,56,59,5223.0,0.0567704482198078
288,29,39,1,322,56,59,342,28,56,59,5223.0,0.0567704482198078
289,29,39,1,322,56,60,340,28,56,60,5223.0,0.0567704482198078
290,29,39,1,322,56,60,341,28,56,60,5223.0,0.0567704482198078
291,29,39,1,322,56,60,342,28,56,60,5223.0,0.0567704482198078
292,29,39,1,322,56,61,340,28,56,61,5223.0,0.0567704482198078
293,29,39,1,322,56,61,341,28,56,61,5223.0,0.0567704482198078
294,29,39,1,322,56,61,342,28,56,61,5223.0,0.0567704482198078
295,29,39,1,322,56,62,340,28,56,62,5223.0,0.0567704482198078
296,29,39,1,322,56,62,341,28,56,62,5223.0,0.0567704482198078
297,29,39,1,322,56,62,342,28,56,62,5223.0,0.0567704482198078
298,29,39,1,322,56,63,340,28,56,63,5223.0,0.0567704482198078
299,29,39,1,322,56,63,341,28,56,63,5223.0,0.0567704482198078
300,29,39,1,322,56,63,342,28,56,63,5223.0,0.0567704482198078
301,29,39,3,322,53,59,340,28,53,59,9302.0,0.0499765998620684
302,29,39,3,322,53,59,341,28,53,59,9302.0,0.0499765998620684
303,29,39,3,322,53,59,342,28,53,59,9302.0,0.0499765998620684
304,29,39,3,322,53,60,340,28,53,60,9302.0,0.0499765998620684
305,29,39,3,322,53,60,341,28,53,60,9302.0,0.0499765998620684
306,29,39,3,322,53,60,342,28,53,60,9302.0,0.0499765998620684
307,29,39,3,322,53,61,340,28,53,61,9302.0,0.0499765998620684
308,29,39,3,322,53,61,341,28,53,61,9302.0,0.0499765998620684
309,29,39,3,322,53,61,342,28,53,61,9302.0,0.0499765998620684
310,29,39,3,322,53,62,340,28,53,62,9302.0,0.0499765998620684
311,29,39,3,322,53,62,341,28,53,62,9302.0,0.0499765998620684
312,29,39,3,322,53,62,342,28,53,62,9302.0,0.0499765998620684
313,29,39,3,322,53,63,340,28,53,63,9302.0,0.0499765998620684
